Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Cam Paddock,7,284,37,37,21,74,1,16,2,1,0,3,5,323,107,98,27,205
Carson McMillan,6,351,45,50,19,95,3,16,2,3,1,5,4,271,57,84,17,141
Jared Aulin,6,236,55,116,0,171,1,17,2,2,0,4,5,230,88,168,6,256
Tomas Mojzis,4,226,22,69,3,91,3,17,1,2,0,3,3,198,42,100,5,142
Filip Novak,4,245,33,110,6,143,2,17,0,0,0,0,3,171,36,128,11,164
Colton Sissons,2,138,50,36,1,86,1,17,1,3,0,4,2,121,43,39,4,82
Konstantin Pushkarev,4,234,47,72,3,119,2,17,2,3,0,5,1,69,22,30,2,52
Jozef Balej,5,227,55,89,2,144,2,18,1,5,0,6,3,176,105,85,1,190
Zach Hamill,7,349,66,126,1,192,3,20,0,4,0,4,5,250,87,175,1,262
Stefan Meyer,7,381,86,79,29,165,2,20,0,2,3,2,5,282,123,123,16,246
Shawn Belle,6,362,19,65,10,84,3,20,0,1,0,1,5,253,30,87,6,117
Mitch Fritz,11,322,11,21,85,32,1,20,0,0,6,0,2,110,13,2,51,15
Brandon Kozun,5,319,91,116,0,207,1,20,2,2,0,4,4,217,92,178,0,270
Richie Regehr,2,70,12,32,0,44,2,20,1,3,0,4,6,307,49,150,9,199
Brandon Manning,4,244,31,83,36,114,3,21,0,5,1,5,4,200,45,91,24,136
Darren Reid,5,203,41,41,17,82,2,21,0,1,2,1,3,167,55,87,38,142
Zenith Komarniski,7,415,56,104,21,160,3,21,1,1,0,2,1,46,7,24,5,31
Dustin Kohn,5,212,11,50,5,61,1,22,0,4,0,4,4,253,20,111,3,131
Jordan Krestanovich,4,258,44,80,1,124,2,22,0,2,0,2,4,226,66,97,0,163
Robert Schnabel,7,341,13,36,46,49,3,22,0,3,2,3,2,62,1,22,9,23
Micki DuPont,6,414,69,173,4,242,4,23,1,3,0,4,3,200,47,130,7,177
Max Reinhart,4,203,45,80,0,125,3,23,1,4,0,5,4,266,94,141,2,235
Kyle Freadrich,1,5,0,0,3,0,2,23,0,1,8,1,2,114,8,7,43,15
Colten Teubert,3,167,10,27,12,37,1,24,0,1,1,1,5,263,32,81,29,113
Spencer Machacek,6,415,117,155,20,272,3,25,2,7,1,9,3,203,77,91,10,168
Zdenek Blatny,6,331,66,89,8,155,3,25,3,0,0,3,3,170,102,107,4,209
Cody Almond,4,164,29,38,24,67,3,25,2,0,2,2,4,229,72,96,13,168
Nathan Smith,9,471,89,123,22,212,5,26,0,0,2,0,6,240,76,137,16,213
Ty Wishart,6,326,26,83,8,109,3,26,1,5,0,6,4,262,33,128,8,161
Steve Regier,4,288,76,102,2,178,4,26,3,1,0,4,4,193,37,49,12,86
Denis Tolpeko,2,82,19,28,2,47,1,26,1,5,0,6,3,179,46,65,3,111
Matt Keith,6,422,104,100,5,204,4,27,2,3,0,5,5,203,76,78,8,154
Tyler Pitlick,4,159,21,43,1,64,2,27,3,0,0,3,1,56,27,35,0,62
Ryan Hamilton,9,494,154,132,20,286,4,30,1,4,0,5,2,15,0,1,0,1
Tomas Kundratek,5,247,36,60,3,96,2,30,1,6,0,7,2,116,6,52,5,58
Boyd Kane,15,952,221,302,23,523,5,31,0,3,3,3,1,68,48,45,5,93
Jeremy Williams,7,328,138,124,4,262,5,32,9,2,0,11,4,174,99,108,1,207
Steve Gainey,6,355,60,90,32,150,4,33,0,2,2,2,2,136,51,68,12,119
Jay Henderson,7,387,86,102,71,188,3,33,1,3,3,4,1,72,49,45,10,94
Lynn Loyns,5,264,43,48,13,91,3,34,3,2,1,5,4,258,72,113,8,185
Quinton Howden,3,149,26,49,0,75,2,34,4,2,0,6,5,244,111,128,0,239
Alexander Urbom,4,225,5,49,5,54,4,34,3,1,2,4,1,66,12,21,1,33
Derrick Pouliot,1,31,7,17,0,24,1,34,2,5,0,7,3,145,16,74,5,90
Ryan Stone,5,309,60,130,28,190,3,35,0,7,5,7,4,239,78,162,23,240
Cam Severson,6,338,62,51,49,113,3,37,3,0,5,3,2,110,48,53,21,101
Aaron Gagnon,6,328,74,98,0,172,4,38,3,2,0,5,6,318,123,121,2,244
Justin Mapletoft,5,320,67,107,4,174,2,38,3,6,0,9,4,279,115,160,9,275
Michal Sivek,4,127,28,49,2,77,1,38,3,3,0,6,1,53,23,37,1,60
Burke Henry,6,375,24,111,31,135,2,39,2,6,3,8,2,140,36,123,20,159
Ryan Russell,6,336,70,61,2,131,1,41,2,0,0,2,4,263,98,118,8,216
Kenndal McArdle,6,250,47,44,20,91,4,42,1,2,7,3,5,261,92,111,23,203
Matt Ellison,4,256,64,93,8,157,3,43,3,11,1,14,1,72,40,56,0,96
Johnathan Aitken,7,410,8,42,44,50,2,44,0,1,8,1,1,69,9,25,11,34
Shane Endicott,6,354,67,106,1,173,2,45,1,2,1,3,4,219,72,101,1,173
Alex Petrovic,4,144,9,42,11,51,3,46,0,4,4,4,5,270,29,117,22,146
Ben Maxwell,5,301,68,140,1,208,4,47,2,6,1,8,5,210,64,95,5,159
Colby Robak,5,297,30,83,0,113,4,47,0,4,0,4,4,246,37,106,3,143
Jason Jaffray,13,560,179,270,24,449,4,49,4,7,5,11,5,277,107,128,18,235
Jesse Wallin,5,233,10,42,3,52,4,49,0,2,3,2,1,14,1,6,1,7
Lawrence Nycholat,10,557,73,260,31,333,4,50,2,7,0,9,3,213,51,137,18,188
Milan Bartovic,6,323,80,56,2,136,3,50,3,14,1,17,2,90,41,56,2,97
Damon Severson,1,2,0,2,0,2,1,51,5,12,0,17,3,125,11,43,3,54
Ben Ondrus,7,394,65,72,36,137,4,52,0,2,10,2,5,316,94,113,18,207
Chris Nielsen,5,306,40,64,3,104,2,52,6,8,0,14,3,200,82,84,1,166
Craig Cunningham,4,247,75,69,1,144,2,53,3,4,0,7,5,330,103,161,7,264
Mikhail Yakubov,4,182,22,31,0,53,2,53,2,10,0,12,1,71,32,57,0,89
Carter Ashton,5,192,56,47,9,103,3,54,0,3,4,3,5,239,92,89,16,181
Jeremy Colliton,6,325,77,125,4,202,5,57,3,3,0,6,4,229,71,105,5,176
Brett Sutter,8,538,91,139,27,230,7,60,2,8,4,10,4,254,58,80,12,138
Josh Holden,6,333,119,155,13,274,6,60,5,9,0,14,1,56,41,58,4,99
Stefan Elliott,4,199,43,52,0,95,4,63,6,12,0,18,5,282,82,159,2,241
Jim O'Brien,6,266,60,86,5,146,3,63,8,4,0,12,2,133,48,69,1,117
Martin Sonnenberg,8,476,126,150,7,276,3,63,2,3,1,5,1,72,40,52,2,92
Sergei Varlamov,6,398,122,178,1,300,4,63,8,7,0,15,1,72,66,53,2,119
Jakub Klepis,3,104,22,52,2,74,2,66,4,10,0,14,1,70,14,50,0,64
Steven Goertzen,7,382,46,58,34,104,4,68,2,2,12,4,3,206,33,46,18,79
Matthew Spiller,5,316,7,32,32,39,3,68,0,2,4,2,4,271,24,64,22,88
Sven Baertschi,3,124,38,57,0,95,4,69,10,20,0,30,2,113,67,112,0,179
Mark Pysyk,3,142,8,39,0,47,3,70,4,11,0,15,5,243,25,100,5,125
Matt Dumba,2,23,5,9,0,14,2,71,9,9,1,18,3,137,35,50,7,85
Michal Repik,4,243,66,116,2,182,4,72,9,11,0,20,3,176,75,93,4,168
Joey Tetarenko,8,415,24,64,113,88,4,73,4,1,19,5,1,49,2,12,14,14
Marian Cisar,1,2,1,0,0,1,3,73,13,17,0,30,1,52,33,40,2,73
Kyle Wanvig,7,394,114,131,49,245,5,75,6,9,4,15,4,266,107,98,29,205
Nolan Yonkman,14,725,21,79,75,100,7,76,1,9,7,10,4,255,12,26,21,38
Matt Kassian,7,231,10,12,69,22,4,76,4,1,23,5,4,245,17,19,66,36
Pavel Brendl,3,160,51,56,0,107,4,78,11,11,0,22,3,178,172,148,3,320
Quintin Laing,13,692,92,171,22,263,4,79,3,8,1,11,3,197,44,64,7,108
Adam Lowry,2,73,17,17,3,34,1,80,11,12,1,23,3,163,45,71,9,116
Victor Rask,2,86,17,27,0,44,1,80,11,22,0,33,1,64,33,30,0,63
Adam Cracknell,9,415,97,123,9,220,5,82,6,11,0,17,4,283,94,119,14,213
Roman Horak,3,139,41,48,0,89,3,84,6,13,0,19,2,130,47,78,1,125
Martin Marincin,5,128,10,35,0,45,2,85,1,10,0,11,2,125,25,71,1,96
Matt Fraser,4,181,90,41,5,131,4,87,11,6,3,17,5,265,87,87,37,174
Oscar Moller,3,110,40,48,0,88,3,87,12,14,0,26,2,131,71,81,0,152
Brett Festerling,5,241,9,51,6,60,4,88,0,8,1,8,6,314,15,54,1,69
Tomas Plihal,4,193,25,47,1,72,3,89,7,9,0,16,2,139,67,96,1,163
Brett Carson,7,321,25,102,0,127,5,90,2,11,0,13,5,268,28,82,1,110
Tyler Bouck,8,415,55,113,26,168,5,91,4,8,9,12,3,178,63,84,29,147
Steve MacIntyre,7,181,3,5,32,8,5,91,2,2,18,4,3,123,3,1,48,4
Linden Vey,3,191,55,103,0,158,2,93,10,19,0,29,5,262,102,178,1,280
Tomas Vincour,4,157,45,45,0,90,4,95,7,10,0,17,3,171,62,61,4,123
Craig Weller,6,300,32,51,31,83,2,95,4,10,12,14,2,99,6,18,15,24
Warren Peters,12,635,119,104,29,223,4,96,4,4,4,8,6,330,111,107,15,218
Mike Sauer,3,177,13,33,10,46,3,98,4,14,9,18,3,156,15,52,6,67
Kevin Connauton,4,221,33,55,10,88,2,98,10,19,1,29,1,69,24,48,7,72
Jeremy Reich,10,647,116,131,132,247,3,99,2,4,21,6,3,204,86,117,37,203
Colton Sceviour,5,348,99,141,8,240,4,99,17,22,1,39,5,251,78,114,10,192
Tyler Sloan,12,435,15,50,16,65,3,99,4,13,1,17,2,140,8,57,9,65
Paul Postma,4,215,47,89,0,136,5,100,7,11,0,18,5,270,44,117,0,161
Frazer McLaren,8,245,13,18,67,31,5,102,4,7,36,11,5,318,56,47,68,103
Brandon Segal,10,593,159,158,38,317,5,103,11,11,9,22,5,286,110,96,21,206
Mark Stone,2,91,30,49,0,79,3,103,30,42,0,72,4,232,106,190,4,296
Brayden McNabb,3,159,20,82,6,102,3,108,3,29,5,32,5,258,50,126,24,176
Jon Blum,6,336,42,137,2,179,5,110,7,17,0,24,4,248,49,155,3,204
Victor Bartley,4,148,18,49,1,67,3,111,1,22,3,23,6,336,36,132,15,168
Emerson Etem,4,119,51,41,0,92,3,112,15,16,1,31,3,202,143,109,2,252
Garth Murray,9,482,61,87,82,148,5,116,8,2,19,10,5,266,78,77,62,155
D.J. King,4,144,10,15,29,25,6,118,4,7,33,11,3,183,38,48,40,86
Ryan Stanton,4,224,9,51,14,60,3,119,4,23,3,27,5,242,19,83,15,102
Rick Rypien,4,108,15,22,20,37,6,119,9,7,29,16,4,179,47,67,31,114
Radko Gudas,3,206,15,42,42,57,3,126,7,25,10,32,1,65,7,30,9,37
Zach Boychuk,7,335,129,158,2,287,7,127,12,18,0,30,4,237,110,161,1,271
Stephen Peat,6,68,3,4,15,7,4,130,8,2,35,10,3,134,8,28,36,36
Brendan Mikkelson,8,329,35,92,8,127,5,131,1,9,3,10,4,226,16,54,9,70
Blair Jones,9,416,103,169,21,272,8,132,7,10,3,17,4,249,61,112,9,173
Jaroslav Svoboda,4,93,16,20,1,36,4,134,12,17,0,29,2,110,49,76,1,125
Dana Tyrell,6,232,47,71,2,118,5,135,7,17,0,24,5,240,81,98,6,179
Kyle Cumiskey,5,207,21,80,0,101,6,139,9,26,0,35,3,177,12,67,1,79
Nick Holden,6,295,26,92,3,118,4,139,15,24,0,39,2,137,30,61,1,91
Brett Connolly,2,137,52,68,1,120,4,139,18,16,2,34,4,144,86,66,0,152
Colin McDonald,7,449,110,127,17,237,5,140,18,26,3,44,2,3,0,0,0,0
David Koci,7,207,2,13,78,15,5,142,3,1,43,4,1,70,2,7,7,9
Derek Meech,8,377,36,129,0,165,6,144,4,13,1,17,5,263,27,70,4,97
James Wright,3,196,33,64,9,97,4,146,4,8,6,12,5,202,45,69,5,114
Justin Falk,4,228,7,26,10,33,6,147,2,17,12,19,4,191,7,44,9,51
Colton Gillies,5,282,33,56,12,89,4,154,6,12,2,18,4,195,44,47,7,91
Martin Cibak,4,177,15,39,0,54,3,154,5,18,0,23,2,124,37,55,0,92
Morgan Rielly,1,14,1,2,0,3,2,154,10,46,0,56,2,83,9,37,1,46
Riley Cote,5,128,4,5,45,9,4,156,1,6,53,7,4,235,54,67,27,121
Troy Bodie,8,381,56,54,75,110,5,159,9,12,26,21,4,250,64,65,38,129
Ole-Kristian Tollefsen,2,74,3,16,11,19,5,163,4,8,23,12,2,96,9,41,7,50
Nathan Paetsch,6,382,41,139,9,180,5,167,7,35,4,42,5,258,48,164,13,212
Keith Aulie,5,138,8,17,11,25,5,167,4,10,15,14,4,234,12,49,9,61
Brandon McMillan,4,160,35,40,2,75,5,171,14,22,0,36,4,250,55,113,4,168
Tyler Johnson,2,137,68,65,2,133,3,173,56,72,0,128,9,520,167,207,12,374
Shane Willis,8,317,115,136,1,251,5,174,31,43,0,74,1,64,58,54,0,112
Ryan White,5,190,36,47,27,83,6,175,11,18,23,29,8,499,104,196,22,300
Drayson Bowman,5,248,70,73,7,143,6,179,15,18,1,33,5,263,129,112,13,241
Rob Klinkhammer,6,396,82,129,8,211,5,179,21,21,2,42,4,230,57,67,10,124
Tyson Barrie,3,93,12,52,1,64,4,186,27,77,0,104,5,255,51,177,4,228
Trent Whitfield,15,808,256,344,4,600,8,194,11,18,6,29,1,65,38,44,1,82
Rick Berry,7,383,25,74,36,99,4,197,2,13,22,15,1,59,9,21,6,30
Ryan Craig,9,500,125,152,32,277,8,198,32,31,14,63,6,302,137,131,15,268
Kris Beech,5,226,89,122,0,211,7,198,25,42,0,67,4,232,90,164,1,254
Lance Bouma,3,95,16,11,8,27,4,199,22,31,7,53,5,230,39,76,18,115
Mike Wilson,8,290,22,49,14,71,6,201,10,24,5,34,5,175,19,79,1,98
Thomas Hickey,5,212,14,61,2,75,3,202,7,41,0,48,5,262,39,137,4,176
Michael Stone,3,157,17,46,1,63,4,204,17,34,0,51,4,264,52,129,6,181
Milan Kraft,4,128,51,75,3,126,4,207,41,41,0,82,2,124,74,81,0,155
Brendan Gallagher,1,36,10,10,3,20,3,207,58,58,4,116,4,244,136,144,11,280
Brenden Dillon,3,123,9,34,8,43,4,209,11,24,13,35,4,280,11,83,22,94
Matt Calvert,3,128,40,42,7,82,5,209,42,44,10,86,3,198,99,131,11,230
Lance Ward,5,243,12,44,22,56,4,209,4,12,29,16,1,71,8,25,12,33
Nigel Dawes,5,232,117,116,4,233,5,212,39,45,2,84,4,245,159,113,3,272
Keaton Ellerby,4,191,14,49,0,63,6,212,4,23,3,27,4,266,6,54,19,60
Jared Cowen,1,3,0,3,0,3,5,212,15,27,8,42,5,239,37,82,12,119
Dustin Boyd,4,136,51,49,0,100,5,220,32,31,1,63,4,265,103,114,6,217
Nino Niederreiter,2,80,31,23,0,54,4,225,40,36,0,76,2,120,77,53,2,130
Aaron Rome,7,260,31,83,17,114,8,226,6,22,9,28,6,304,31,124,27,155
Ryan Hollweg,6,202,18,22,29,40,5,228,5,9,27,14,5,233,94,139,16,233
David Schlemko,5,129,13,51,0,64,7,231,9,41,0,50,3,198,22,109,3,131
Cody Eakin,3,82,27,26,0,53,4,237,46,61,1,107,5,238,118,121,6,239
Marcel Hossa,5,186,74,63,0,137,6,237,31,30,0,61,3,188,65,99,0,164
Dwight King,4,202,50,74,9,124,5,238,37,43,2,80,5,273,79,110,9,189
Nick Tarnasky,6,315,54,45,68,99,5,245,13,17,39,30,3,150,36,43,15,79
Brad Ference,5,277,14,69,30,83,6,250,4,30,35,34,2,105,18,66,20,84
Dale Weise,3,194,57,54,19,111,5,258,23,36,25,59,3,173,51,61,17,112
Ryan Nugent-Hopkins,1,19,8,12,0,20,4,258,65,123,1,188,3,141,57,120,1,177
Ryan Johansen,1,40,17,16,0,33,4,271,73,94,1,167,2,134,65,96,1,161
Brayden Schenn,3,47,22,30,1,52,6,274,58,76,11,134,4,224,116,199,11,315
Ryan Reaves,4,214,20,25,47,45,5,275,17,17,48,34,3,201,36,43,7,79
Derek Boogaard,1,53,0,4,24,4,6,277,3,13,62,16,4,174,3,18,70,21
Jeff Woywitka,7,274,16,96,8,112,7,278,9,46,5,55,4,268,41,99,13,140
Joel Kwiatkowski,6,276,45,93,0,138,7,282,16,29,0,45,1,62,21,43,1,64
Jamie Lundmark,8,298,89,133,10,222,6,295,40,59,9,99,3,159,96,120,9,216
Jared Spurgeon,1,23,2,7,0,9,5,295,26,75,0,101,5,264,37,132,1,169
Clayton Stoner,5,283,15,65,29,80,6,296,5,34,36,39,3,189,23,70,12,93
Mikael Backlund,2,55,15,17,0,32,7,298,51,77,2,128,1,28,12,18,0,30
Gilbert Brule,4,93,33,31,6,64,8,299,43,52,4,95,4,165,87,98,8,185
Steve McCarthy,7,193,14,53,1,67,8,302,17,38,4,55,3,152,43,85,9,128
Ryan Shannon,5,186,41,109,2,150,6,305,35,64,0,99,2,138,5,30,21,35
Scott Parker,2,100,16,10,37,26,8,308,7,14,75,21,1,71,30,22,16,52
Cam Barker,4,93,19,28,7,47,8,310,21,75,11,96,5,213,51,128,11,179
Matt Walker,8,240,9,43,31,52,9,314,4,26,54,30,3,197,9,49,37,58
Michael Grabner,4,180,68,52,0,120,6,317,95,60,0,155,3,180,88,41,0,129
Deryk Engelland,6,339,14,42,63,56,6,319,15,43,45,58,5,243,14,34,60,48
Zack Smith,4,171,46,57,22,103,7,319,39,39,27,78,4,221,41,68,26,109
T.J. Galiardi,2,67,10,18,0,28,7,321,44,61,2,105,1,72,18,52,3,70
Travis Hamonic,2,40,6,11,7,17,5,323,18,93,12,111,4,181,29,80,14,109
Mark Fistric,5,182,4,40,4,44,8,325,4,30,12,34,5,214,11,47,21,58
Oleg Saprykin,3,94,29,37,2,66,7,325,55,82,2,137,2,114,77,82,3,159
Eric Godard,8,297,11,13,98,24,8,335,6,12,97,18,3,133,5,10,79,15
Josh Green,10,368,102,146,7,248,9,341,36,40,8,76,1,31,35,19,2,54
Luca Sbisa,3,14,3,10,0,13,7,342,12,55,13,67,3,109,14,52,7,66
Ronald Petrovicky,4,155,35,54,16,89,6,342,41,51,27,92,1,71,64,49,17,113
Marek Svatos,2,60,18,8,0,26,7,344,100,72,1,172,2,92,61,57,0,118
Tyler Ennis,1,69,23,42,0,65,6,345,89,123,1,212,4,245,115,121,2,236
Josef Melichar,3,152,6,18,9,24,7,349,7,42,6,49,2,132,17,52,6,69
Jordan Eberle,3,54,34,40,0,74,5,356,120,164,0,284,4,254,155,155,0,310
Kurt Sauer,1,4,0,0,0,0,7,357,5,28,11,33,3,180,12,42,8,54
Colin Fraser,5,286,53,72,42,125,9,359,20,38,31,58,4,269,74,140,59,214
Darren Helm,3,124,29,39,0,68,8,366,59,77,0,136,3,201,76,91,3,167
Mark Smith,4,165,41,73,11,114,7,377,23,47,33,70,1,70,42,67,13,109
Mike Brown,9,457,55,67,132,122,12,383,18,16,106,34,7,312,66,63,71,129
Brett McLean,7,351,95,140,0,235,6,385,56,106,2,162,2,119,89,100,1,189
Erik Christensen,4,75,40,35,0,75,7,387,68,95,0,163,5,338,133,153,0,286
Johnny Boychuk,5,294,45,108,20,153,8,393,28,82,10,110,5,266,38,95,21,133
Cody Franson,3,158,24,71,1,95,6,400,35,134,0,169,5,199,34,85,5,119
Garnet Exelby,7,457,21,65,61,86,7,408,7,43,30,50,3,189,13,29,17,42
