Players,AHLPPG,AHL FPG,AHL GP,NHL PPG,NHLFPG,NHL GP,WHLPPG,WHLFPG,WHL GP
Michal Urbaniak,0,0,0,0,0,0,0,0,1
Mike Hammond,0,0,0,0,0,0,0,0,1
Mike Olynyk,0,0,0,0,0,0,0,0,1
Mike Salekin,0,0,0,0,0,0,0,0,1
Olli Dickson,0,0,0,0,0,0,0,0,1
Patrick Baum,0,0,0,0,0,0,0,0,1
Pavel Beranek,0,0,0,0,0,0,0,0,1
Ryan Trotter,0,0,0,0,0,0,0,1,1
Seth Carlyle,0,0,0,0,0,0,0,0,1
Shamus Graham,0,0,0,0,0,0,1,0,1
Spencer Morse,0,0,0,0,0,0,0,0,1
T.J. Litte,0,0,0,0,0,0,0,0,1
Thomas Foster,0,0,0,0,0,0,0,0,1
Thomas Huling,0,0,0,0,0,0,0,0,1
Trevor Olynick,0,0,0,0,0,0,0,0,1
Ty Mappin,0,0,0,0,0,0,0,0,1
Tyler Chambers,0,0,0,0,0,0,0,1,1
Ryan Johnson,0.921568627,0,102,0.17403709,0.002853067,701,0,0,2
Shawn Legault,0,1.133333333,15,0,0,0,0,0,2
Ryan Constant,0.115384615,0.038461538,26,0,0,0,0,0,2
Adam Wihak,0,0,0,0,0,0,0,0,2
Alex Alexandrov,0,0,0,0,0,0,0,0,2
Brady Poulsen,0,0,0,0,0,0,0,0,2
Brandon Brossoit,0,0,0,0,0,0,0,0,2
Brett Lernout,0,0,0,0,0,0,0,0,2
Brian Sydiaha,0,0,0,0,0,0,0,0,2
Carson Stadnyk,0,0,0,0,0,0,0,0,2
Charles Allen,0,0,0,0,0,0,0,0,2
Colin Mospanchuk,0,0,0,0,0,0,0,0,2
David Keough,0,0,0,0,0,0,0,0,2
Derek Boyle,0,0,0,0,0,0,0,0,2
Drake Bodie,0,0,0,0,0,0,0,0,2
Edgars Ulescenko,0,0,0,0,0,0,0,0,2
Greg Brown,0,0,0,0,0,0,0,0,2
Jack Palmer,0,0,0,0,0,0,0,0,2
Jason Glutek,0,0,0,0,0,0,0,0,2
Jason Seery,0,0,0,0,0,0,0,0,2
Jason Vokey,0,0,0,0,0,0,0,0,2
Jere Kolari,0,0,0,0,0,0,0,0.5,2
Jeremy Cominotto,0,0,0,0,0,0,0,0,2
Jindrich Barak,0,0,0,0,0,0,0,0,2
Joel Nedecky,0,0,0,0,0,0,0.5,0,2
Jordan Principalli,0,0,0,0,0,0,0,0,2
Josh Dobbyn,0,0,0,0,0,0,0,0,2
Josh Thrower,0,0,0,0,0,0,0.5,0,2
Justin Schmidt,0,0,0,0,0,0,0,0.5,2
Kristaps Bazevics,0,0,0,0,0,0,0,0,2
Kurtis Decker,0,0,0,0,0,0,0,0,2
Lee Schaefer,0,0,0,0,0,0,0,0,2
Lucas Froese,0,0,0,0,0,0,0,0,2
Macklin Pichonsky,0,0,0,0,0,0,0,0,2
Mathieu Chicoine,0,0,0,0,0,0,0,0,2
Matt Ireland,0,0,0,0,0,0,0.5,0,2
Matthew Belich,0,0,0,0,0,0,0,0,2
Michael Dewar,0,0,0,0,0,0,0,0,2
Mike Bratton,0,0,0,0,0,0,0,0,2
Parker Bowles,0,0,0,0,0,0,0,0,2
Richard Andrew,0,0,0,0,0,0,0.5,0,2
Riel Thomson,0,0,0,0,0,0,0,0,2
Riley Stadel,0,0,0,0,0,0,0.5,0,2
Rob Rishaug,0,0,0,0,0,0,0,0,2
Ross Hnidy,0,0,0,0,0,0,0,0,2
Ryan Donaldson,0,0,0,0,0,0,0,0.5,2
Ryan Morse,0,0,0,0,0,0,0,0,2
Ryan Pilon,0,0,0,0,0,0,0,0,2
Ryley Gardypie,0,0,0,0,0,0,0,0,2
Stefan Burzan,0,0,0,0,0,0,0,0,2
Sterling Bear,0,0,0,0,0,0,0,0,2
Tayler Balog,0,0,0,0,0,0,0,0,2
Travis Tipler,0,0,0,0,0,0,0,0,2
Tyler Miller,0,0,0,0,0,0,0,0.5,2
Tyson Newell,0,0,0,0,0,0,0,0,2
Zach Sweet,0,0,0,0,0,0,0,0,2
Zach Walker,0,0,0,0,0,0,0,0,2
Colin McDonald,0.467914439,0.037433155,374,0.142857143,0,7,0,0,3
Jay Banach,0,0,2,0,0,0,0,0,3
Austin Glover,0,0,0,0,0,0,0.333333333,0,3
Blayne Goodman,0,0,0,0,0,0,0,0.333333333,3
Brad Cruikshank,0,0,0,0,0,0,0,0,3
Brett Boschman,0,0,0,0,0,0,0,0,3
Brycen Martin,0,0,0,0,0,0,0,0,3
Cameron Canart,0,0,0,0,0,0,0,0,3
Chad Butcher,0,0,0,0,0,0,0,0,3
Cody Nelson,0,0,0,0,0,0,0,0.333333333,3
Cody Rainaldi,0,0,0,0,0,0,0.333333333,0,3
Colby Williams,0,0,0,0,0,0,0,0,3
Colin Frederickson,0,0,0,0,0,0,0,0,3
Daniel Lepp,0,0,0,0,0,0,0,0,3
Eric Skaug,0,0,0,0,0,0,0,0,3
Graham Hurlburt,0,0,0,0,0,0,0,0,3
Jared Dumba,0,0,0,0,0,0,0,0,3
Jared Friesen,0,0,0,0,0,0,0,0,3
Jeff Peters,0,0,0,0,0,0,0,0,3
Jeffery Urban,0,0,0,0,0,0,0,0.333333333,3
Jesse Griffith,0,0,0,0,0,0,0,0,3
Jordan Baillie,0,0,0,0,0,0,0,0,3
Jordan Funk,0,0,0,0,0,0,0,0,3
Jorden Iron,0,0,0,0,0,0,0,0,3
Kevin Woodyatt,0,0,0,0,0,0,0,0,3
Luke Gordon,0,0,0,0,0,0,0,0,3
Mandeep Nijjar,0,0,0,0,0,0,0,0,3
Matt Riley,0,0,0,0,0,0,0,0,3
Mitch Wall,0,0,0,0,0,0,0.333333333,0,3
Reid Zalitach,0,0,0,0,0,0,0,0,3
Reza Sharghi,0,0,0,0,0,0,0,0,3
Ryan Hankin,0,0,0,0,0,0,0,0,3
Stuart Pietersma,0,0,0,0,0,0,0.333333333,0,3
T.J. Little,0,0,0,0,0,0,0,0,3
Tomas Netik,0,0,0,0,0,0,0,0,3
Trevor Nychkalo,0,0,0,0,0,0,0,0,3
Tyler Gunn,0,0,0,0,0,0,0,0,3
Woody Klassen,0,0,0,0,0,0,0,0,3
Zane Morin,0,0,0,0,0,0,0,0,3
John Morlang,0.16,0.04,25,0,0,0,0.5,0,4
Adam Knight,0,0,0,0,0,0,0,0.5,4
Blake Barkwell,0,0,0,0,0,0,0,0,4
Brandon Regier,0,0,0,0,0,0,0,0,4
Cole Linaker,0,0,0,0,0,0,0,0,4
Dalton Olsen,0,0,0,0,0,0,0.25,0,4
Derek McKinlay,0,0,0,0,0,0,0.5,0,4
Drew Graham,0,0,0,0,0,0,0,0,4
Dustin Ernest,0,0,0,0,0,0,0,0,4
Eddie Friesen,0,0,0,0,0,0,0,0,4
Greg Hall,0,0,0,0,0,0,0,0,4
Haydn Fleury,0,0,0,0,0,0,0,0,4
Jayce Douskey,0,0,0,0,0,0,0,0,4
Jesse Wood-Schatz,0,0,0,0,0,0,0.25,0,4
Joel Topping,0,0,0,0,0,0,0,0,4
Jordan Thomson,0,0,0,0,0,0,0.25,0,4
Jordy Dudka,0,0,0,0,0,0,0,0,4
Kenny Petkay,0,0,0,0,0,0,0,0,4
Landyn Hickmott,0,0,0,0,0,0,0,0,4
Lyon Messier,0,0,0,0,0,0,0,0.25,4
Mark Kelts,0,0,0,0,0,0,0.25,0,4
Mark Trussler,0,0,0,0,0,0,0,0,4
Matt Waseylenko,0,0,0,0,0,0,0.75,0,4
Mike Gillen,0,0,0,0,0,0,0,0,4
Mitchell Ruminski,0,0,0,0,0,0,0,0,4
Nelson Nogier,0,0,0,0,0,0,0,0,4
Randall Groot,0,0,0,0,0,0,0,0,4
Richard Cihak,0,0,0,0,0,0,0.5,0,4
Richard McPherson,0,0,0,0,0,0,0,0,4
Ryan Henderson,0,0,0,0,0,0,0,0,4
Scott Stewart,0,0,0,0,0,0,0.25,0,4
Taylor Green,0,0,0,0,0,0,0.25,0,4
Tom Zavediuk,0,0,0,0,0,0,0.25,0,4
Tyler Morrison,0,0,0,0,0,0,0,0,4
John McNabb,0,0,1,0,0,0,0,0,5
Justin Coutu,0,0,4,0,0,0,0.4,0,5
Adam Ross,0,0,0,0,0,0,0.4,0,5
Ales Frieb,0,0,0,0,0,0,0,0,5
Arvin Atwal,0,0,0,0,0,0,0,0.2,5
Bill Bellmore,0,0,0,0,0,0,0.2,0,5
Bobby Asham,0,0,0,0,0,0,0,0,5
Brad Hickes,0,0,0,0,0,0,0,0.4,5
Brayden Point,0,0,0,0,0,0,0.2,0,5
Bubba Westwood,0,0,0,0,0,0,0,0.2,5
Corey Koski,0,0,0,0,0,0,0,0,5
Curtis Capjack,0,0,0,0,0,0,0.4,0,5
Darcy Stewart,0,0,0,0,0,0,0,0,5
David Lehman,0,0,0,0,0,0,0,0,5
Graham Telford,0,0,0,0,0,0,0,0.2,5
Gui Glasspoole,0,0,0,0,0,0,0.2,0.2,5
Jeff Froese,0,0,0,0,0,0,0,0,5
Kyle Golz,0,0,0,0,0,0,0,0,5
Kyle Ireland,0,0,0,0,0,0,0.2,0,5
Liam Jeffries,0,0,0,0,0,0,0,0.2,5
Mike Gerstanbuhler,0,0,0,0,0,0,0,0,5
Nathan Strueby,0,0,0,0,0,0,0.6,0,5
Robbie Holoien,0,0,0,0,0,0,0.2,0,5
Ryan Graham,0,0,0,0,0,0,0.2,0,5
Taylor Ernst,0,0,0,0,0,0,0,0,5
Trace Elson,0,0,0,0,0,0,0.2,0,5
Vladimir Artyushin,0,0,0,0,0,0,0.4,0,5
Blake Penner,0,0,0,0,0,0,0,0,6
Carson Bolduc,0,0,0,0,0,0,0,0,6
Casper Carning,0,0,0,0,0,0,0.333333333,0,6
Chad Shiel,0,0,0,0,0,0,0,0.666666667,6
Colton Waltz,0,0,0,0,0,0,0.166666667,0,6
Cory Graboski,0,0,0,0,0,0,0,0.166666667,6
Gavin Broadhead,0,0,0,0,0,0,0,0.166666667,6
Geoff Stewart,0,0,0,0,0,0,0,0,6
Jesse MacNeil,0,0,0,0,0,0,0,0,6
Jonathan Boh,0,0,0,0,0,0,0,0,6
Jordan Bauer,0,0,0,0,0,0,0,0,6
Jordan Cheveldave,0,0,0,0,0,0,0,0.333333333,6
Joseph Carvalho,0,0,0,0,0,0,0,0,6
Joseph Cook,0,0,0,0,0,0,0,0.333333333,6
Juraj Prokop,0,0,0,0,0,0,0.833333333,0,6
Justin Kirkland,0,0,0,0,0,0,0.166666667,0,6
Marco Cefalo,0,0,0,0,0,0,0.166666667,0.333333333,6
Richard Vanderhoek,0,0,0,0,0,0,0,0,6
RJ Reed,0,0,0,0,0,0,0,0,6
Ryan Andersen,0,0,0,0,0,0,0,0.166666667,6
Ryley Bennefield,0,0,0,0,0,0,0,0,6
Scott Brkich,0,0,0,0,0,0,0.166666667,0,6
Simon Jones,0,0,0,0,0,0,0,0.166666667,6
Travis Swyripa,0,0,0,0,0,0,0.666666667,0,6
Tyler Wong,0,0,0,0,0,0,0,0,6
Walter Prawdzik,0,0,0,0,0,0,0,0,6
Zac Mackay,0,0,0,0,0,0,0,0,6
Matt Smith,0.203389831,0.050847458,59,0,0,0,0.142857143,0,7
Brenden Stephen,0,0,0,0,0,0,0,0,7
Carl Bjorge,0,0,0,0,0,0,0.142857143,0,7
Deder Klassen,0,0,0,0,0,0,0,0,7
Greg Alexander,0,0,0,0,0,0,0.142857143,0,7
Ivan Usenko,0,0,0,0,0,0,0,0,7
Jarett Zentner,0,0,0,0,0,0,0.142857143,0,7
Joel Woznikoski,0,0,0,0,0,0,0,0.142857143,7
Jordan Draper,0,0,0,0,0,0,0.142857143,0,7
Josh Bylsma,0,0,0,0,0,0,0,0,7
Lenny Young,0,0,0,0,0,0,0,0,7
Luke Boyer,0,0,0,0,0,0,0.142857143,0,7
Nyjer Morgan,0,0,0,0,0,0,0.285714286,0.142857143,7
Richard Kazda,0,0,0,0,0,0,0.142857143,0,7
Taggart Desmet,0,0,0,0,0,0,0.285714286,0,7
Alex Staudt,0,0,0,0,0,0,0.25,0,8
Colan Jackson,0,0,0,0,0,0,0,0,8
Darrell Stoddard,0,0,0,0,0,0,0.125,0.125,8
Harrison Harper,0,0,0,0,0,0,0,0,8
Jaromir Smatrala,0,0,0,0,0,0,0,0,8
John Odgers,0,0,0,0,0,0,0.125,0.375,8
Jonathan Lawrence,0,0,0,0,0,0,0,0,8
Jordan Roach,0,0,0,0,0,0,0,0.125,8
Kevin Pochuk,0,0,0,0,0,0,0.25,0,8
Michal Poletin,0,0,0,0,0,0,0.25,0,8
Roman Sykora,0,0,0,0,0,0,0.125,0,8
Shaun Aebig,0,0,0,0,0,0,0.125,0,8
Clayton Anderson,0,0,0,0,0,0,0,0.222222222,9
Curtis Yausie,0,0,0,0,0,0,0,0.111111111,9
Dylan Fluter,0,0,0,0,0,0,0.222222222,0,9
Jake Virtanen,0,0,0,0,0,0,0.444444444,0,9
James Ardelan,0,0,0,0,0,0,0.222222222,0,9
Kyle Krzyzaniak,0,0,0,0,0,0,0,0.111111111,9
Raymond Grewal,0,0,0,0,0,0,0,0,9
Scott Feser,0,0,0,0,0,0,0.222222222,0,9
Shaune Draper,0,0,0,0,0,0,0.111111111,0.111111111,9
Tyler Paslawski,0,0,0,0,0,0,0.222222222,0,9
David Greyeyes,0,0,0,0,0,0,0,0,10
Jason Boily,0,0,0,0,0,0,0,0.3,10
Jon Gaudet,0,0,0,0,0,0,0.4,0,10
Logan Harland,0,0,0,0,0,0,0.1,0,10
Michael Bell,0,0,0,0,0,0,0,0.1,10
Shawn Nepinak,0,0,0,0,0,0,0.1,0,10
Stewart Coyle,0,0,0,0,0,0,0,0,10
Turner Popoff,0,0,0,0,0,0,0.1,0,10
Garret Stroshein,0.064285714,0.335714286,140,0,0.666666667,3,0,0.454545455,11
Brad Cote,0,0,0,0,0,0,0.181818182,0.181818182,11
Cal O'Connor,0,0,0,0,0,0,0.090909091,0.090909091,11
Chad Labelle,0,0,0,0,0,0,0.272727273,0,11
Donovan Rattray,0,0,0,0,0,0,0.090909091,0.090909091,11
Drew Norman,0,0,0,0,0,0,0,0,11
Joey Santucci,0,0,0,0,0,0,0.090909091,0.181818182,11
Justin Mazurek,0,0,0,0,0,0,0,0.272727273,11
Kyle Becker,0,0,0,0,0,0,0.090909091,0,11
Mike Markell,0,0,0,0,0,0,0.181818182,0,11
Ryan Bayliss,0,0,0,0,0,0,0,0.272727273,11
Ryan Driedger,0,0,0,0,0,0,0.090909091,0,11
Bryce Reynoldson,0,0,0,0,0,0,0.083333333,0.333333333,12
Chris Beston,0,0,0,0,0,0,0.083333333,0,12
Gasper Kopitar,0,0,0,0,0,0,0.083333333,0,12
Jesse Hilton,0,0,0,0,0,0,0.166666667,0.083333333,12
Konrad Sander,0,0,0,0,0,0,0,0.083333333,12
Kyle Kautz,0,0,0,0,0,0,0,0.25,12
Marcel Ulehla,0,0,0,0,0,0,0,0,12
Reid Duke,0,0,0,0,0,0,0.5,0,12
Rodney Lavoie,0,0,0,0,0,0,0,0,12
Stacey Bublitz,0,0,0,0,0,0,0.166666667,0.333333333,12
Taylor Cote,0,0,0,0,0,0,0.25,0.25,12
Carson McPherson,0,0,0,0,0,0,0.076923077,0,13
Jamie Muswagon,0,0,0,0,0,0,0.230769231,0,13
Joey Degenstein,0,0,0,0,0,0,0.076923077,0.153846154,13
Kris Waltze,0,0,0,0,0,0,0.307692308,0.153846154,13
Ryan Smith,0,0,0,0,0,0,0,0,13
Tyler Perry,0,0,0,0,0,0,1.076923077,0.076923077,13
William Rathje,0,0,0,0,0,0,0.076923077,0,13
Jesse Wallin,0.223175966,0.012875536,233,0.040816327,0.06122449,49,0.5,0.071428571,14
Artem Polikarpov,0,0,0,0,0,0,0.142857143,0,14
Brandon Potomak,0,0,0,0,0,0,0.071428571,0,14
Brendan Vanthuyne,0,0,0,0,0,0,0,0,14
Brent Martin,0,0,0,0,0,0,0,0,14
Graeme Potts,0,0,0,0,0,0,0.214285714,0.071428571,14
Isaac Smeltzer,0,0,0,0,0,0,0,0,14
Lyle McKay,0,0,0,0,0,0,0.142857143,0,14
Matt Franczyk,0,0,0,0,0,0,0,0,14
Oliver Jokel,0,0,0,0,0,0,0,0,14
Sheldon Nedjelski,0,0,0,0,0,0,0.071428571,0.142857143,14
Ryan Hamilton,0.506849315,0.043835616,365,0.5,0,2,0.066666667,0,15
Ryan Carter,0.460674157,0.078651685,89,0.169291339,0.078740157,254,0.066666667,0.066666667,15
Pat Stachniak,0,0,2,0,0,0,0,0.066666667,15
Brodyn Nielsen,0,0,0,0,0,0,0.066666667,0.133333333,15
Chris Lane,0,0,0,0,0,0,0.266666667,0,15
Mitch Guiel,0,0,0,0,0,0,0,0,15
Adam Rehak,0,0,0,0,0,0,0.25,0.25,16
Alexander Provkin,0,0,0,0,0,0,0.0625,0,16
Brandyn Hulit,0,0,0,0,0,0,0,0,16
Connor Bleackley,0,0,0,0,0,0,0.125,0,16
Darian Henry,0,0,0,0,0,0,0.0625,0.125,16
Gabe Minville,0,0,0,0,0,0,0,0.0625,16
Jason Battershill,0,0,0,0,0,0,0.0625,0.0625,16
Kevin Werner,0,0,0,0,0,0,0.1875,0.0625,16
Kyle Roth,0,0,0,0,0,0,0.0625,0.0625,16
Brennan Tutt,0,0,0,0,0,0,0,0,17
Cole Penner,0,0,0,0,0,0,0.117647059,0.352941176,17
Ivan Gracia,0,0,0,0,0,0,0.235294118,0,17
Jason Siebert,0,0,0,0,0,0,0.176470588,0,17
Luke Philp,0,0,0,0,0,0,0.117647059,0,17
Michael Young,0,0,0,0,0,0,0.117647059,0,17
Paul Levarsky,0,0,0,0,0,0,0.058823529,0,17
Vahe Zakaryan,0,0,0,0,0,0,0.235294118,0,17
Austin Baecker,0,0,0,0,0,0,0,0.055555556,18
Chris Kwas,0,0,0,0,0,0,0.055555556,0.055555556,18
David Watt,0,0,0,0,0,0,0,0.055555556,18
Dexter Bricker,0,0,0,0,0,0,0.055555556,0.055555556,18
Kyle Tinordi,0,0,0,0,0,0,0,0.166666667,18
Martin Stepan,0,0,0,0,0,0,0.222222222,0,18
Rob Boleski,0,0,0,0,0,0,0,0.333333333,18
Sean Affleck,0,0,0,0,0,0,0,0,18
Uriah Machuga,0,0,0,0,0,0,0.166666667,0,18
Trevor Baker,0.146341463,0.048780488,41,0,0,0,0.315789474,0.368421053,19
Cole Hamblin,0,0,0,0,0,0,0.315789474,0,19
Jon Hanley,0,0,0,0,0,0,0.105263158,0.105263158,19
Kyle Ermel,0,0,0,0,0,0,0.157894737,0,19
Marian Menhart,0,0,0,0,0,0,0.368421053,0.105263158,19
Matko Malbasa,0,0,0,0,0,0,0.157894737,0,19
Nathan Zimbaluk,0,0,0,0,0,0,0,0,19
Tanner Exner,0,0,0,0,0,0,0.157894737,0,19
Tim McGauley,0,0,0,0,0,0,0,0,19
Adam Smith,0.182795699,0.086021505,93,0,0,0,0,0.3,20
Rob Voltera,0.088235294,0.360294118,136,0,0,0,0.25,0.1,20
Jeremy Creurer,0,0,0,0,0,0,0.05,0.15,20
Jerris Paul,0,0,0,0,0,0,0,0,20
Josh Bray,0,0,0,0,0,0,0.05,0,20
Kamil Vavra,0,0,0,0,0,0,0.25,0,20
Lee Morrow,0,0,0,0,0,0,0.1,0,20
Luke Hughson,0,0,0,0,0,0,0,0.05,20
Pearce Eviston,0,0,0,0,0,0,0.1,0.2,20
Rylan Gebhart,0,0,0,0,0,0,0.05,0.05,20
T.J. Constant,0,0,0,0,0,0,0.05,0.05,20
Chris Cook,0,0,0,0,0,0,0,0.047619048,21
Derek Edwards,0,0,0,0,0,0,0.142857143,0.047619048,21
Landon Peel,0,0,0,0,0,0,0.095238095,0.047619048,21
Marc McNulty,0,0,0,0,0,0,0,0,21
Mike Clements,0,0,0,0,0,0,0.047619048,0,21
David Graden,0,0,0,0,0,0,0.045454545,0.090909091,22
Jay Vidrine,0,0,0,0,0,0,0,0,22
Matt House,0,0,0,0,0,0,0.318181818,0,22
Thomas Migdal,0,0,0,0,0,0,0.227272727,0,22
Patrick Vrana,0,0,0,0,0,0,0,0,23
Ryan Diduck,0,0,0,0,0,0,0.217391304,0.043478261,23
Ryan Epp,0,0,0,0,0,0,0.086956522,0,23
Colin Slobodlan,0,0,0,0,0,0,0.125,0.041666667,24
Colton Graf,0,0,0,0,0,0,0.041666667,0.041666667,24
Jade Galbraith,0,0,0,0,0,0,0.416666667,0,24
Jared Smith,0,0,0,0,0,0,0.041666667,0.083333333,24
Juraj Roznik,0,0,0,0,0,0,0.208333333,0,24
Mike Schlamp,0,0,0,0,0,0,0.041666667,0.041666667,24
Ryan Finnerty,0,0,0,0,0,0,0.125,0.166666667,24
Scott Brownlee,0,0,0,0,0,0,0.166666667,0.5,24
Stephen George,0,0,0,0,0,0,0.083333333,0,24
Brent Hope,0,0,0,0,0,0,0.12,0.04,25
Colton MacPherson,0,0,0,0,0,0,0.08,0,25
Denis Rehak,0,0,0,0,0,0,0.12,0,25
Peter Cmorej,0,0,0,0,0,0,0.12,0,25
Simon Skrudland,0,0,0,0,0,0,0.04,0.04,25
Aaron Hareuther,0,0,0,0,0,0,0.038461538,0,26
Brock Zimak,0,0,0,0,0,0,0.115384615,0.038461538,26
David Hoda,0,0,0,0,0,0,0.115384615,0.038461538,26
Houston Hair,0,0,0,0,0,0,0.115384615,0.076923077,26
Michael Sagen,0,0,0,0,0,0,0.076923077,0.038461538,26
Randall Dyck,0,0,0,0,0,0,0.076923077,0.269230769,26
Matt Pettinger,0.483146067,0.052434457,267,0.291469194,0.023696682,422,0.740740741,0.111111111,27
Chris Cederstrand,0,0,0,0,0,0,0.074074074,0.148148148,27
David Hajek,0,0,0,0,0,0,0.111111111,0,27
Tyler Kieffer,0,0,0,0,0,0,0.111111111,0.037037037,27
Vladimir Dolnik,0,0,0,0,0,0,0.185185185,0,27
Mikael Backlund,0.581818182,0,55,0.333333333,0.007246377,138,1.071428571,0,28
Craig Perry,0,0,0,0,0,0,0,0.142857143,28
Don Halverson,0,0,0,0,0,0,0.678571429,0.071428571,28
Dylan Kemp,0,0,0,0,0,0,0.214285714,0.035714286,28
Henrik Samuelsson,0,0,0,0,0,0,0.821428571,0.035714286,28
Mitchell Virostek,0,0,0,0,0,0,0.071428571,0.035714286,28
Robert Brandis,0,0,0,0,0,0,0.071428571,0.071428571,28
Bryce Lampman,0.274509804,0,357,0,0,10,0.620689655,0,29
Alexei Zhurba,0,0,0,0,0,0,0.068965517,0,29
Colin Kobza,0,0,0,0,0,0,0,0.24137931,29
Dane Muench,0,0,0,0,0,0,0.379310345,0,29
Daniel Hill,0,0,0,0,0,0,0,0.310344828,29
Dominic Perrault,0,0,0,0,0,0,0.1,0,30
Evan Wardley,0,0,0,0,0,0,0.133333333,0.033333333,30
Greg Park,0,0,0,0,0,0,0.4,0.133333333,30
Ryan Bloom,0,0,0,0,0,0,0.066666667,0,30
Josh Green,0.702194357,0.018808777,319,0.2228739,0.023460411,341,1.741935484,0.064516129,31
Angel Krstev,0,0,0,0,0,0,0.516129032,0,31
Ben Johnson,0,0,0,0,0,0,0.225806452,0.032258065,31
Cam Reid,0,0,0,0,0,0,1.032258065,0,31
Fredrik Cedergren,0,0,0,0,0,0,0.161290323,0,31
Garrett Leedahl,0,0,0,0,0,0,0.225806452,0,31
George Westwood,0,0,0,0,0,0,0.032258065,0.322580645,31
Mark Mieritz,0,0,0,0,0,0,0.193548387,0,31
Riley Kieser,0,0,0,0,0,0,0.548387097,0.064516129,31
Sam Dezman,0,0,0,0,0,0,0.161290323,0.064516129,31
Sean Tymkow,0,0,0,0,0,0,0.064516129,0.032258065,31
Tyler Pavkovich,0,0,0,0,0,0,0.064516129,0,31
Andrej Stastny,0,0,0,0,0,0,0.9375,0.0625,32
David Stephens,0,0,0,0,0,0,0.09375,0.0625,32
Jan Kupec,0,0,0,0,0,0,0.15625,0.03125,32
Jarid Hauptman,0,0,0,0,0,0,0.34375,0,32
Jerry Eckel,0,0,0,0,0,0,0.09375,0,32
Kyzen Loo,0,0,0,0,0,0,0.03125,0.0625,32
Lukas Matejka,0,0,0,0,0,0,0.0625,0.09375,32
Matt MacDermott,0,0,0,0,0,0,0.0625,0,32
Michael Hay,0,0,0,0,0,0,0.03125,0,32
Mike Betz,0,0,0,0,0,0,0.0625,0,32
Nick Bell,0,0,0,0,0,0,0.40625,0,32
Niko Snellman,0,0,0,0,0,0,0.3125,0.0625,32
Rhett Nevill,0,0,0,0,0,0,0.03125,0.0625,32
Tyler Eskesen,0,0,0,0,0,0,0,0,32
Andrew Coates,0,0,0,0,0,0,0.03030303,0,33
Carson Samoridny,0,0,0,0,0,0,0.060606061,0.03030303,33
Mike Leier,0,0,0,0,0,0,0.03030303,0.121212121,33
Petr Prochazka,0,0,0,0,0,0,0.212121212,0.03030303,33
Thomas Raffl,0,0,0,0,0,0,0.333333333,0.090909091,33
Eric Brewer,0.16,0.08,25,0.275,0.021428571,840,0.970588235,0.088235294,34
Andrew Downing,0,0,0,0,0,0,0.558823529,0,34
Brandon Bruce,0,0,0,0,0,0,0.029411765,0,34
