Player,AHL.Season,AHL.GP,AHL.Goals,AHL.Assists,AHL.Fights,AHL.Points,NHL.Season,NHL.GP,NHL.Goals,NHL.Assists,NHL.Fights,NHL.Points,WHL.Seasons,WHL.GP,WHL.Goals,WHL.Assists,WHL.Fights,WHL.Points
Cody McLeod,3,132,21,19,34,40,8,549,57,46,109,103,4,257,69,68,53,137
Ian White,3,108,12,52,1,64,8,503,45,134,5,179,4,246,77,145,1,222
Kris Versteeg,3,139,46,81,10,127,8,473,116,159,9,275,4,264,62,105,9,167
Nate Thompson,3,216,35,45,21,80,8,471,44,59,16,103,4,253,55,88,6,143
Cody Franson,3,158,24,71,1,95,6,400,35,134,0,169,5,199,34,85,5,119
Brandon Sutter,3,36,6,12,0,18,7,495,98,87,6,185,4,205,68,86,4,154
Clarke MacArthur,3,163,56,102,4,158,9,544,133,171,4,304,3,190,88,136,8,224
Brayden Schenn,3,47,22,30,1,52,6,274,58,76,11,134,4,224,116,199,11,315
Darren Helm,3,124,29,39,0,68,8,366,59,77,0,136,3,201,76,91,3,167
Luca Sbisa,3,14,3,10,0,13,7,342,12,55,13,67,3,109,14,52,7,66
Cody Eakin,3,82,27,26,0,53,4,237,46,61,1,107,5,238,118,121,6,239
James Wright,3,196,33,64,9,97,4,146,4,8,6,12,5,202,45,69,5,114
Jordan Eberle,3,54,34,40,0,74,5,356,120,164,0,284,4,254,155,155,0,310
Lance Bouma,3,95,16,11,8,27,4,199,22,31,7,53,5,230,39,76,18,115
Tomas Fleischmann,3,104,52,63,0,115,10,581,123,187,1,310,2,125,54,92,0,146
Tyson Barrie,3,93,12,52,1,64,4,186,27,77,0,104,5,255,51,177,4,228
Brenden Dillon,3,123,9,34,8,43,4,209,11,24,13,35,4,280,11,83,22,94
Michael Stone,3,157,17,46,1,63,4,204,17,34,0,51,4,264,52,129,6,181
Brayden McNabb,3,159,20,82,6,102,3,108,3,29,5,32,5,258,50,126,24,176
Cory Sarich,3,94,3,32,4,35,15,969,21,137,45,158,1,46,8,40,5,48
Dale Weise,3,194,57,54,19,111,5,258,23,36,25,59,3,173,51,61,17,112
Mark Pysyk,3,142,8,39,0,47,3,70,4,11,0,15,5,243,25,100,5,125
Matt Calvert,3,128,40,42,7,82,5,209,42,44,10,86,3,198,99,131,11,230
Fredrik Sjostrom,3,21,2,7,0,9,7,489,46,58,1,104,2,121,53,74,0,127
Josef Melichar,3,152,6,18,9,24,7,349,7,42,6,49,2,132,17,52,6,69
Michal Rozsival,3,79,11,30,2,41,14,890,66,227,3,293,1,71,14,55,2,69
Oleg Saprykin,3,94,29,37,2,66,7,325,55,82,2,137,2,114,77,82,3,159
Ryan Johnson,3,102,27,67,0,94,13,701,38,84,2,122,1,2,0,0,0,0
Pavel Brendl,3,160,51,56,0,107,4,78,11,11,0,22,3,178,172,148,3,320
Chuck Kobasew,3,108,53,26,4,79,11,601,110,100,15,210,1,55,41,21,2,62
Linden Vey,3,191,55,103,0,158,2,93,10,19,0,29,5,262,102,178,1,280
Quinton Howden,3,149,26,49,0,75,2,34,4,2,0,6,5,244,111,128,0,239
Mike Sauer,3,177,13,33,10,46,3,98,4,14,9,18,3,156,15,52,6,67
Sven Baertschi,3,124,38,57,0,95,4,69,10,20,0,30,2,113,67,112,0,179
Mario Bliznak,3,214,31,40,0,71,2,6,1,0,0,1,3,183,36,58,1,94
Oscar Moller,3,110,40,48,0,88,3,87,12,14,0,26,2,131,71,81,0,152
Roman Horak,3,139,41,48,0,89,3,84,6,13,0,19,2,130,47,78,1,125
Brendan Shinnimin,3,190,47,61,6,108,1,12,0,1,0,1,5,266,131,206,9,337
Colten Teubert,3,167,10,27,12,37,1,24,0,1,1,1,5,263,32,81,29,113
Doug Lynch,3,161,12,29,12,41,1,2,0,0,0,0,5,266,55,87,40,142
Joe Morrow,3,155,14,46,2,60,1,15,1,0,0,1,5,227,33,118,14,151
Matt Konan,3,74,2,6,0,8,1,2,0,0,0,0,5,301,19,88,17,107
Dave Morisset,3,122,15,16,6,31,1,4,0,0,1,0,4,196,65,72,16,137
Duncan Siemens,3,103,1,9,8,10,1,1,0,0,0,0,4,188,14,78,19,92
Mike Card,3,92,2,13,1,15,1,4,0,0,0,0,4,269,35,112,4,147
Patrick Holland,3,147,16,31,0,47,1,5,0,0,0,0,4,203,63,144,5,207
Ty Jones,3,158,21,36,40,57,2,14,0,0,3,0,2,106,54,76,25,130
Dominik Uher,3,193,24,33,16,57,1,2,0,0,0,0,3,181,58,86,14,144
Radko Gudas,3,206,15,42,42,57,3,126,7,25,10,32,1,65,7,30,9,37
Brett Kulak,3,36,5,11,1,16,1,1,0,0,0,0,2,72,9,15,0,24
Ivan Baranka,3,174,13,57,4,70,1,1,0,1,0,1,2,122,10,28,2,38
Jakub Klepis,3,104,22,52,2,74,2,66,4,10,0,14,1,70,14,50,0,64
Jordan Martinook,3,182,38,54,6,92,1,8,0,1,0,1,2,144,51,41,7,92
Stanislav Gron,3,202,48,34,2,82,1,1,0,0,0,0,2,110,37,47,1,84
Cam Barker,4,93,19,28,7,47,8,310,21,75,11,96,5,213,51,128,11,179
Erik Christensen,4,75,40,35,0,75,7,387,68,95,0,163,5,338,133,153,0,286
Colby Armstrong,4,243,34,55,8,89,8,476,89,120,13,209,4,205,76,109,10,185
Gilbert Brule,4,93,33,31,6,64,8,299,43,52,4,95,4,165,87,98,8,185
Jeff Schultz,4,164,7,34,1,41,8,408,11,65,1,76,4,262,22,85,1,107
Andrew Ference,4,89,14,38,4,52,15,901,43,182,31,225,2,112,22,78,5,100
Jason Chimera,4,237,70,89,11,159,14,869,143,186,33,329,2,130,66,66,6,132
Zack Smith,4,171,46,57,22,103,7,319,39,39,27,78,4,221,41,68,26,109
Blair Betts,4,180,45,58,0,103,9,477,41,37,0,78,3,157,79,98,2,177
Dwight King,4,202,50,74,9,124,5,238,37,43,2,80,5,273,79,110,9,189
Paul Postma,4,215,47,89,0,136,5,100,7,11,0,18,5,270,44,117,0,161
Darcy Hordichuk,4,100,7,11,19,18,12,542,20,21,137,41,2,129,9,10,65,19
Justin Falk,4,228,7,26,10,33,6,147,2,17,12,19,4,191,7,44,9,51
Keaton Ellerby,4,191,14,49,0,63,6,212,4,23,3,27,4,266,6,54,19,60
Rick Rypien,4,108,15,22,20,37,6,119,9,7,29,16,4,179,47,67,31,114
Shaone Morrisonn,4,216,15,49,8,64,8,480,11,64,6,75,3,179,25,57,6,82
Brandon McMillan,4,160,35,40,2,75,5,171,14,22,0,36,4,250,55,113,4,168
Dustin Boyd,4,136,51,49,0,100,5,220,32,31,1,63,4,265,103,114,6,217
Matt Fraser,4,181,90,41,5,131,4,87,11,6,3,17,5,265,87,87,37,174
Stefan Elliott,4,199,43,52,0,95,4,63,6,12,0,18,5,282,82,159,2,241
D.J. King,4,144,10,15,29,25,6,118,4,7,33,11,3,183,38,48,40,86
Michael Grabner,4,180,68,52,0,120,6,317,95,60,0,155,3,180,88,41,0,129
Todd Fedoruk,4,42,1,6,16,7,9,545,32,65,103,97,2,119,25,24,35,49
Victor Bartley,4,148,18,49,1,67,3,111,1,22,3,23,6,336,36,132,15,168
Steve Regier,4,288,76,102,2,178,4,26,3,1,0,4,4,193,37,49,12,86
Alex Petrovic,4,144,9,42,11,51,3,46,0,4,4,4,5,270,29,117,22,146
Alex Plante,4,212,6,37,35,43,3,10,0,2,1,2,5,224,18,71,16,89
Ryan Reaves,4,214,20,25,47,45,5,275,17,17,48,34,3,201,36,43,7,79
Ryan Stanton,4,224,9,51,14,60,3,119,4,23,3,27,5,242,19,83,15,102
Brandon Manning,4,244,31,83,36,114,3,21,0,5,1,5,4,200,45,91,24,136
Cody Almond,4,164,29,38,24,67,3,25,2,0,2,2,4,229,72,96,13,168
Max Reinhart,4,203,45,80,0,125,3,23,1,4,0,5,4,266,94,141,2,235
Michal Repik,4,243,66,116,2,182,4,72,9,11,0,20,3,176,75,93,4,168
Tomas Vincour,4,157,45,45,0,90,4,95,7,10,0,17,3,171,62,61,4,123
Craig Cunningham,4,247,75,69,1,144,2,53,3,4,0,7,5,330,103,161,7,264
Emerson Etem,4,119,51,41,0,92,3,112,15,16,1,31,3,202,143,109,2,252
Tomas Mojzis,4,226,22,69,3,91,3,17,1,2,0,3,3,198,42,100,5,142
Brett Bulmer,4,145,20,24,11,44,2,14,0,3,0,3,4,178,65,86,15,151
Dylan McIlrath,4,182,12,27,40,39,2,3,0,0,2,0,4,232,16,58,48,74
Jannik Hansen,4,129,34,46,1,80,8,470,77,107,5,184,1,64,24,40,5,64
Jaroslav Svoboda,4,93,16,20,1,36,4,134,12,17,0,29,2,110,49,76,1,125
Jordan Krestanovich,4,258,44,80,1,124,2,22,0,2,0,2,4,226,66,97,0,163
Mike Funk,4,151,4,23,3,27,2,9,0,2,0,2,4,280,23,98,8,121
Milan Kraft,4,128,51,75,3,126,4,207,41,41,0,82,2,124,74,81,0,155
Mark Smith,4,165,41,73,11,114,7,377,23,47,33,70,1,70,42,67,13,109
Filip Novak,4,245,33,110,6,143,2,17,0,0,0,0,3,171,36,128,11,164
Jonathan Filewich,4,292,69,73,2,142,1,5,0,0,0,0,6,321,121,125,5,246
Martin Cibak,4,177,15,39,0,54,3,154,5,18,0,23,2,124,37,55,0,92
Ronald Petrovicky,4,155,35,54,16,89,6,342,41,51,27,92,1,71,64,49,17,113
Scott Jackson,4,240,2,30,17,32,1,1,0,0,0,0,6,329,23,96,8,119
Tomas Plihal,4,193,25,47,1,72,3,89,7,9,0,16,2,139,67,96,1,163
Curtis Hamilton,4,208,30,38,3,68,1,1,0,0,0,0,5,216,67,106,1,173
Kris Foucault,4,157,30,35,1,65,1,1,0,0,0,0,5,195,56,55,5,111
Alexander Urbom,4,225,5,49,5,54,4,34,3,1,2,4,1,66,12,21,1,33
Brody Sutter,4,141,24,35,5,59,1,4,0,0,0,0,4,231,57,68,9,125
Owen Fussey,4,137,9,18,4,27,1,4,0,1,0,1,4,237,106,73,3,179
Ross Lupaschuk,4,278,49,73,27,122,1,3,0,0,0,0,4,267,63,104,30,167
Vladimir Mihalik,4,270,6,52,21,58,2,15,0,3,0,3,2,115,10,28,9,38
Brandon Davidson,4,150,11,17,5,28,1,12,1,0,0,1,3,200,22,112,7,134
John Persson,4,177,44,30,3,74,1,10,1,0,0,1,3,200,63,67,1,130
Matt Ellison,4,256,64,93,8,157,3,43,3,11,1,14,1,72,40,56,0,96
Mitch Callahan,4,237,59,52,20,111,1,1,0,0,0,0,3,203,57,71,48,128
Andrej Podkonicky,4,251,55,76,5,131,2,8,1,0,0,1,1,64,30,44,3,74
Jaroslav Kristek,4,172,38,43,0,81,1,6,0,0,0,0,2,115,64,73,1,137
Kevin Connauton,4,221,33,55,10,88,2,98,10,19,1,29,1,69,24,48,7,72
Konstantin Pushkarev,4,234,47,72,3,119,2,17,2,3,0,5,1,69,22,30,2,52
Mikhail Yakubov,4,182,22,31,0,53,2,53,2,10,0,12,1,71,32,57,0,89
Roman Tvrdon,4,170,17,21,0,38,1,9,0,1,0,1,2,131,54,78,1,132
Tyler Pitlick,4,159,21,43,1,64,2,27,3,0,0,3,1,56,27,35,0,62
Barrett Heisten,4,250,38,43,11,81,1,10,0,0,0,0,1,58,20,57,3,77
Garret Stroshein,4,140,2,7,47,9,1,3,0,0,2,0,1,11,0,0,5,0
Greg Kuznik,4,207,8,14,11,22,1,1,0,0,0,0,1,72,5,12,14,17
Michal Sivek,4,127,28,49,2,77,1,38,3,3,0,6,1,53,23,37,1,60
Colton Orr,5,106,2,4,42,6,11,477,12,12,123,24,5,164,19,9,54,28
Ryan White,5,190,36,47,27,83,6,175,11,18,23,29,8,499,104,196,22,300
Vernon Fiddler,5,204,34,57,6,91,12,736,90,145,17,235,4,267,85,100,11,185
Johnny Boychuk,5,294,45,108,20,153,8,393,28,82,10,110,5,266,38,95,21,133
Kyle Chipchura,5,186,41,63,14,104,8,412,27,65,43,92,5,216,59,106,15,165
Mark Fistric,5,182,4,40,4,44,8,325,4,30,12,34,5,214,11,47,21,58
Colin Fraser,5,286,53,72,42,125,9,359,20,38,31,58,4,269,74,140,59,214
Jim Vandermeer,5,230,15,40,28,55,9,461,25,80,45,105,4,248,34,100,53,134
Scottie Upshall,5,62,32,28,1,60,12,553,115,119,5,234,3,173,99,127,2,226
Drayson Bowman,5,248,70,73,7,143,6,179,15,18,1,33,5,263,129,112,13,241
Kris Beech,5,226,89,122,0,211,7,198,25,42,0,67,4,232,90,164,1,254
Trent Hunter,5,297,112,140,4,252,9,497,101,135,2,236,3,177,77,83,4,160
Brett Festerling,5,241,9,51,6,60,4,88,0,8,1,8,6,314,15,54,1,69
David Schlemko,5,129,13,51,0,64,7,231,9,41,0,50,3,198,22,109,3,131
Ben Maxwell,5,301,68,140,1,208,4,47,2,6,1,8,5,210,64,95,5,159
Colton Sceviour,5,348,99,141,8,240,4,99,17,22,1,39,5,251,78,114,10,192
Keith Aulie,5,138,8,17,11,25,5,167,4,10,15,14,4,234,12,49,9,61
Nigel Dawes,5,232,117,116,4,233,5,212,39,45,2,84,4,245,159,113,3,272
Clayton Stoner,5,283,15,65,29,80,6,296,5,34,36,39,3,189,23,70,12,93
Kyle Cumiskey,5,207,21,80,0,101,6,139,9,26,0,35,3,177,12,67,1,79
Marcel Hossa,5,186,74,63,0,137,6,237,31,30,0,61,3,188,65,99,0,164
Colby Robak,5,297,30,83,0,113,4,47,0,4,0,4,4,246,37,106,3,143
Colton Gillies,5,282,33,56,12,89,4,154,6,12,2,18,4,195,44,47,7,91
Riley Cote,5,128,4,5,45,9,4,156,1,6,53,7,4,235,54,67,27,121
Carter Ashton,5,192,56,47,9,103,3,54,0,3,4,3,5,239,92,89,16,181
Thomas Hickey,5,212,14,61,2,75,3,202,7,41,0,48,5,262,39,137,4,176
Brad Ference,5,277,14,69,30,83,6,250,4,30,35,34,2,105,18,66,20,84
Lynn Loyns,5,264,43,48,13,91,3,34,3,2,1,5,4,258,72,113,8,185
Matthew Spiller,5,316,7,32,32,39,3,68,0,2,4,2,4,271,24,64,22,88
Ryan Shannon,5,186,41,109,2,150,6,305,35,64,0,99,2,138,5,30,21,35
Ryan Stone,5,309,60,130,28,190,3,35,0,7,5,7,4,239,78,162,23,240
Landon Ferraro,5,270,75,65,10,140,2,7,1,0,0,1,5,220,76,76,17,152
Ray Macias,5,178,18,47,0,65,2,8,0,1,0,1,5,280,66,118,0,184
Jakub Cutta,5,298,9,34,9,43,3,8,0,0,0,0,3,177,10,23,4,33
Kyle Rossiter,5,349,10,34,24,44,3,11,0,1,1,1,3,195,21,55,31,76
Justin Mapletoft,5,320,67,107,4,174,2,38,3,6,0,9,4,279,115,160,9,275
Chris Nielsen,5,306,40,64,3,104,2,52,6,8,0,14,3,200,82,84,1,166
Darren Reid,5,203,41,41,17,82,2,21,0,1,2,1,3,167,55,87,38,142
Jozef Balej,5,227,55,89,2,144,2,18,1,5,0,6,3,176,105,85,1,190
Duncan Milroy,5,344,72,110,1,182,1,5,0,1,0,1,5,264,132,155,2,287
Wade Skolney,5,310,6,33,45,39,1,1,0,0,0,0,5,172,10,44,19,54
Brandon Kozun,5,319,91,116,0,207,1,20,2,2,0,4,4,217,92,178,0,270
Brett Lysak,5,226,35,44,5,79,1,2,0,0,0,0,4,265,134,175,8,309
Dustin Kohn,5,212,11,50,5,61,1,22,0,4,0,4,4,253,20,111,3,131
Jesse Schultz,5,305,103,125,2,228,1,2,0,0,0,0,4,272,110,119,6,229
Jesse Wallin,5,233,10,42,3,52,4,49,0,2,3,2,1,14,1,6,1,7
Lance Ward,5,243,12,44,22,56,4,209,4,12,29,16,1,71,8,25,12,33
Layne Ulmer,5,311,65,87,0,152,1,1,0,0,0,0,4,261,161,154,5,315
Martin Marincin,5,128,10,35,0,45,2,85,1,10,0,11,2,125,25,71,1,96
Ryan Keller,5,284,102,98,2,200,1,6,0,0,0,0,4,257,120,117,4,237
Scott Glennie,5,230,46,72,1,118,1,1,0,0,0,0,4,252,121,187,8,308
Tomas Kundratek,5,247,36,60,3,96,2,30,1,6,0,7,2,116,6,52,5,58
Shaun Heshka,5,354,25,89,3,114,1,8,0,2,0,2,3,204,25,82,3,107
Petr Kalus,5,213,40,40,23,80,2,11,4,1,0,5,1,60,36,22,4,58
Rasmus Rissanen,5,240,7,29,3,36,1,6,0,0,0,0,2,139,5,22,2,27
Dmitri Yakushin,5,238,7,23,11,30,1,2,0,0,0,0,1,42,1,24,4,25
Brian Sutherby,6,58,4,18,7,22,9,460,41,49,49,90,4,208,79,99,21,178
Deryk Engelland,6,339,14,42,63,56,6,319,15,43,45,58,5,243,14,34,60,48
Dana Tyrell,6,232,47,71,2,118,5,135,7,17,0,24,5,240,81,98,6,179
Nathan Paetsch,6,382,41,139,9,180,5,167,7,35,4,42,5,258,48,164,13,212
Ryan Hollweg,6,202,18,22,29,40,5,228,5,9,27,14,5,233,94,139,16,233
Aaron Gagnon,6,328,74,98,0,172,4,38,3,2,0,5,6,318,123,121,2,244
Jeremy Colliton,6,325,77,125,4,202,5,57,3,3,0,6,4,229,71,105,5,176
Jon Blum,6,336,42,137,2,179,5,110,7,17,0,24,4,248,49,155,3,204
Kenndal McArdle,6,250,47,44,20,91,4,42,1,2,7,3,5,261,92,111,23,203
Matt Keith,6,422,104,100,5,204,4,27,2,3,0,5,5,203,76,78,8,154
Rob Klinkhammer,6,396,82,129,8,211,5,179,21,21,2,42,4,230,57,67,10,124
Tomas Kopecky,6,268,73,89,4,162,10,578,68,106,3,174,2,109,56,70,2,126
Arron Asham,6,139,40,49,16,89,15,789,94,114,102,208,1,67,43,49,13,92
Nick Tarnasky,6,315,54,45,68,99,5,245,13,17,39,30,3,150,36,43,15,79
Shawn Belle,6,362,19,65,10,84,3,20,0,1,0,1,5,253,30,87,6,117
Carson McMillan,6,351,45,50,19,95,3,16,2,3,1,5,4,271,57,84,17,141
Mark Parrish,6,169,52,71,0,123,12,722,216,171,4,387,1,54,54,38,1,92
Micki DuPont,6,414,69,173,4,242,4,23,1,3,0,4,3,200,47,130,7,177
Stephen Peat,6,68,3,4,15,7,4,130,8,2,35,10,3,134,8,28,36,36
Ty Wishart,6,326,26,83,8,109,3,26,1,5,0,6,4,262,33,128,8,161
Carsen Germyn,6,404,100,165,30,265,2,4,0,0,0,0,5,324,116,167,22,283
Matt Pettinger,6,267,67,62,14,129,9,422,65,58,10,123,1,27,14,6,3,20
Spencer Machacek,6,415,117,155,20,272,3,25,2,7,1,9,3,203,77,91,10,168
Zdenek Blatny,6,331,66,89,8,155,3,25,3,0,0,3,3,170,102,107,4,209
Nick Holden,6,295,26,92,3,118,4,139,15,24,0,39,2,137,30,61,1,91
Shane Endicott,6,354,67,106,1,173,2,45,1,2,1,3,4,219,72,101,1,173
Steve Gainey,6,355,60,90,32,150,4,33,0,2,2,2,2,136,51,68,12,119
Joel Kwiatkowski,6,276,45,93,0,138,7,282,16,29,0,45,1,62,21,43,1,64
Cam Severson,6,338,62,51,49,113,3,37,3,0,5,3,2,110,48,53,21,101
Jim O'Brien,6,266,60,86,5,146,3,63,8,4,0,12,2,133,48,69,1,117
Josh Holden,6,333,119,155,13,274,6,60,5,9,0,14,1,56,41,58,4,99
Milan Bartovic,6,323,80,56,2,136,3,50,3,14,1,17,2,90,41,56,2,97
Carter Bancks,6,281,21,45,21,66,1,2,0,0,0,0,5,262,58,120,15,178
Jared Aulin,6,236,55,116,0,171,1,17,2,2,0,4,5,230,88,168,6,256
John Negrin,6,177,7,26,3,33,1,3,0,1,0,1,5,235,13,104,5,117
Brodie Dupont,6,364,66,102,29,168,1,1,0,0,0,0,4,214,81,68,22,149
Burke Henry,6,375,24,111,31,135,2,39,2,6,3,8,2,140,36,123,20,159
Craig Weller,6,300,32,51,31,83,2,95,4,10,12,14,2,99,6,18,15,24
Ryan Russell,6,336,70,61,2,131,1,41,2,0,0,2,4,263,98,118,8,216
Sergei Varlamov,6,398,122,178,1,300,4,63,8,7,0,15,1,72,66,53,2,119
Josh Olson,6,241,41,35,6,76,1,5,1,0,0,1,2,144,62,86,10,148
Ryan Bonni,6,274,8,36,22,44,1,3,0,0,0,0,2,113,14,50,13,64
Aaron Rome,7,260,31,83,17,114,8,226,6,22,9,28,6,304,31,124,27,155
Jerred Smithson,7,303,23,78,2,101,11,606,39,57,8,96,3,194,40,56,14,96
Jeff Woywitka,7,274,16,96,8,112,7,278,9,46,5,55,4,268,41,99,13,140
